target,base_group,BCUT2D_MWHI,BCUT2D_MWLOW,SMR_VSA4,SMR_VSA7,SlogP_VSA12,SlogP_VSA7,VSA_EState4,FractionCSP3,NumAliphaticCarbocycles,NumAromaticCarbocycles
1,0.832050294,0.761742042,0.538688623,-0.436479564,0.592679529,1.510299597,2.312386264,-0.010860909,-1.854978393,-0.654186561,0.832949764
1,-1.201850425,0.547467616,1.836906014,-0.882587075,-1.48364124,-0.554138639,-0.407640853,-0.539038522,1.99126326,-0.654186561,-1.130431823
1,-1.201850425,-0.485655522,-1.200584291,0.658897039,-0.526801018,-0.554138639,-0.407640853,0.176198737,0.737054025,1.504629091,-0.148741029
1,-1.201850425,-0.485654759,-1.508109766,2.200381154,-1.103557034,-0.554138639,-0.407640853,-0.096077553,1.380748712,2.943839526,-1.130431823
1,-1.201850425,-0.50071499,-1.609907155,2.200381154,-0.707063847,-0.554138639,-0.407640853,-0.923798435,0.867361477,2.224234309,-1.130431823
1,-1.201850425,-0.504642853,0.297550761,-0.882587075,-0.526801018,-0.554138639,-0.407640853,-0.0321249,-0.069223341,-0.654186561,-0.148741029
1,-1.201850425,-0.47789213,-0.194816018,1.761451696,-0.310570661,-0.554138639,-0.407640853,-0.149569501,1.054678443,0.065418656,-1.130431823
1,-1.201850425,-0.497459524,0.065712767,0.175028433,-1.087148053,-0.554138639,-0.407640853,-0.539038522,1.16706862,0.065418656,-1.130431823
1,-1.201850425,-0.508491651,-0.659294525,0.130089286,-1.070739072,-0.554138639,-0.407640853,-0.830075817,0.274191091,-0.654186561,-1.130431823
1,-1.201850425,-0.471854238,-0.792764565,0.175028433,-0.147346725,-0.554138639,-0.407640853,-0.051759351,0.143930446,0.065418656,0.832949764
1,0.832050294,0.761670125,0.543854349,-0.436479564,0.796634883,0.478080479,0.952372705,0.166879204,-1.614588291,-0.654186561,0.832949764
1,-1.201850425,-0.503475061,0.179637958,2.819067205,-1.087148053,-0.554138639,-0.407640853,-0.539038522,1.127188235,-0.654186561,-1.130431823
1,0.832050294,-0.475927244,-0.552706209,-0.353779321,0.846568608,-0.554138639,-0.407640853,0.124338445,-0.131662328,0.065418656,0.832949764
1,-1.201850425,-0.479559356,-1.614527327,0.613957891,1.222395664,-0.554138639,-0.407640853,-2.507713327,0.170368125,1.504629091,0.832949764
1,0.832050294,-0.498178851,-1.208617604,0.687373138,0.212690875,-0.554138639,-0.407640853,-0.209258379,-0.443857268,1.504629091,-0.148741029
1,0.832050294,-0.504482298,0.459769479,0.687373138,1.259460477,-0.554138639,-0.407640853,1.305332252,0.035547165,-0.654186561,0.832949764
1,0.832050294,-0.501520727,0.889825667,-0.882587075,-0.708323673,-0.554138639,-0.407640853,-0.400199667,-0.756052209,-0.654186561,-0.148741029
1,0.832050294,-0.314691295,0.185185271,-0.882587075,0.380896324,-0.554138639,-0.407640853,0.162248931,0.020363032,-0.654186561,-0.148741029
1,0.832050294,-0.498040403,-1.253416159,0.687373138,0.212690875,-0.554138639,-0.407640853,-0.994200411,-0.443857268,1.504629091,-0.148741029
1,-1.201850425,-0.479558496,-1.616103927,0.613957891,2.393576505,-0.554138639,-0.407640853,-2.23755134,-0.288424041,1.504629091,1.814640558
1,0.832050294,-0.504440263,0.957371142,-0.882587075,-1.48364124,-0.554138639,-0.407640853,-0.223091343,0.96101996,-0.654186561,-1.130431823
1,-1.201850425,-0.486380011,1.006153321,-0.882587075,-0.708323673,-0.554138639,-0.407640853,-0.351864856,0.159719617,-0.654186561,-0.148741029
1,-1.201850425,0.12979979,0.324267433,-0.882587075,-1.48364124,0.26686264,-0.407640853,-0.690529305,1.99126326,-0.654186561,-1.130431823
1,-1.201850425,0.540375018,-0.792765457,0.175028433,0.583185772,0.454576796,-0.407640853,-0.055058162,-0.198003753,0.065418656,0.832949764
1,-1.201850425,-0.503803762,-1.507321775,1.6715734,-1.103557034,-0.554138639,-0.407640853,-0.082691717,1.34058328,2.224234309,-1.130431823
1,0.832050294,-0.484649966,1.650681132,-0.370242371,-0.691914692,-0.554138639,-0.407640853,0.612949943,-0.63117423,-0.654186561,-0.148741029
1,-1.201850425,0.761739956,2.999899814,-0.410255002,-1.323534961,1.510299597,-0.407640853,-0.539038522,1.16706862,-0.654186561,-1.130431823
1,-1.201850425,-0.500715139,-1.587409878,1.6715734,-1.103557034,-0.554138639,-0.407640853,-0.837157987,1.206315986,2.224234309,-1.130431823
