target,base_group,MaxEStateIndex,MinEStateIndex,MinAbsEStateIndex,BCUT2D_MWHI,BCUT2D_MRLOW,HallKierAlpha,PEOE_VSA1,PEOE_VSA10,PEOE_VSA12,PEOE_VSA2,PEOE_VSA3,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,SMR_VSA1,SMR_VSA3,SMR_VSA6,SlogP_VSA1,SlogP_VSA10,SlogP_VSA3,EState_VSA2,VSA_EState1,VSA_EState4,VSA_EState5,VSA_EState8,NumAliphaticHeterocycles,NumAromaticHeterocycles,RingCount,MolLogP,fr_Ar_NH,fr_NH1,fr_allylic_oxid,fr_ether,fr_imidazole,fr_methoxy
1,-1.213559752,-0.634294192,0.434022146,1.717266174,-0.631746698,-0.323661325,0.875183102,-0.809294389,-0.9463765,-0.49763767,-0.468022432,-0.767615937,-0.313732335,0.166281029,-0.790474395,-0.735856666,-0.805428631,-0.947097336,-0.985439939,-0.698919335,-0.201775879,-1.305379516,-0.780950478,0.055428281,-0.069890507,0.115522257,-0.841737232,-0.763505675,-1.286329094,-0.466460704,-0.31741701,-0.708925369,-0.468499685,-0.742621893,-0.250789598,-0.422158527
1,0.824022054,0.656880383,0.256907718,-0.427682585,0.583273652,-0.273174088,-1.165552698,1.166824416,0.125453434,0.214730616,0.167849288,0.969685789,3.896865058,2.109394673,-0.589564196,0.261360131,1.936914362,-0.479922492,1.113304281,0.367657813,1.941463963,0.797098832,-0.549312277,0.778514005,0.039876677,0.555452409,-0.841737232,1.800365233,0.284995069,0.795100308,-0.31741701,1.920543272,-0.468499685,0.005500903,-0.250789598,-0.422158527
1,-1.213559752,0.257941403,0.363521748,-0.653929105,-0.611539982,-1.251770936,-0.401966123,0.304441444,-0.38652125,-0.49763767,0.210692039,0.375529262,-0.313732335,-0.838432229,-0.693072058,0.574321097,-0.332317205,0.40010734,-0.285858532,-0.066320608,0.907723661,1.155688221,-0.115085594,-0.103593346,-0.685507874,0.312221454,0.22813439,-0.763505675,-0.762554373,-0.512076469,-0.31741701,0.167564178,0.454919984,1.501746494,-0.250789598,0.773957299
1,-1.213559752,0.639061782,0.293536622,-0.120084815,-0.622734678,-0.287472208,-1.192582311,1.166824416,0.052801437,0.214730616,0.143679764,-0.196043338,-0.313732335,2.277681896,0.476288425,0.261360131,1.049921343,0.358533825,1.736579251,-0.165630761,0.787030098,1.199240916,-0.529029569,0.611626248,0.128695342,0.624764796,0.22813439,-0.763505675,0.284995069,0.092572974,-0.31741701,1.920543272,-0.468499685,0.005500903,-0.250789598,-0.422158527
1,-1.213559752,0.057348616,0.212040941,-0.168358465,0.842257022,-0.417429998,0.185927965,-0.472011534,-0.459173247,-0.49763767,-0.468022432,-0.196043338,-0.313732335,-0.858997913,0.765654372,-0.098115726,-0.805428631,-0.947097336,-0.362164971,-0.698919335,-0.350242676,-0.496135823,-0.3153153,-0.656831903,0.122221406,0.272792811,-0.841737232,-0.763505675,-0.762554373,0.249314803,-0.31741701,-0.708925369,-0.468499685,0.753623699,-0.250789598,-0.422158527
1,-1.213559752,0.862349954,-0.62434069,-0.719190567,-0.610639115,-0.803414263,-0.51684198,2.187056031,1.607377197,0.20025111,1.367084155,-0.196043338,-0.313732335,1.440990649,1.808914708,2.958686817,-0.369412935,0.900619363,-0.985439939,-0.698919335,3.011114047,2.425950748,0.472773766,-0.230110778,-2.959615416,1.436665695,2.367877633,-0.763505675,0.284995069,0.917781771,-0.31741701,-0.708925369,2.301759324,2.997992086,-0.250789598,3.166188951
1,0.824022054,-0.76808701,0.547286051,0.137972366,-0.620153932,0.024699953,0.733277633,0.329344562,0.088101685,-0.49763767,-1.079724628,-0.767615937,-0.313732335,-0.603085524,-0.529927878,-0.384410121,-0.369412935,-0.046084828,-0.362164971,-0.698919335,-0.147073402,-0.129796867,-0.52104098,0.104451077,0.612222109,-0.882178177,1.298006011,-0.763505675,0.80876979,-1.301754861,-0.31741701,-0.708925369,-0.468499685,0.005500903,-0.250789598,-0.422158527
1,-1.213559752,1.181778101,-0.101599113,-0.697455297,-0.638875427,-0.396522632,-2.381885294,3.48216048,4.173370344,7.338413483,5.648999523,-0.767615937,-0.313732335,2.910905841,1.597268712,2.601581512,4.139126944,2.756964232,1.812885689,-0.698919335,3.459250413,2.491655663,-0.780950478,-0.643985432,-3.642280351,4.716033435,0.22813439,-0.763505675,-1.286329094,-0.379238371,-0.31741701,2.797032819,0.454919984,-0.742621893,-0.250789598,-0.422158527
1,-1.213559752,-0.752010674,0.521044011,-0.215305595,-0.631742763,-0.338332134,1.402260561,-0.809294389,-0.9463765,-0.49763767,-0.468022432,-0.767615937,-0.313732335,-0.275504049,-1.386211604,-0.735856666,-0.805428631,-0.947097336,-0.985439939,-0.698919335,-0.767869833,-0.902507218,-0.780950478,-0.643985432,-0.139935294,-0.283413362,-0.841737232,-0.763505675,-1.810103816,-0.816508247,-0.31741701,-0.708925369,-0.468499685,-0.742621893,-0.250789598,-0.422158527
1,0.824022054,-2.804457041,1.372712851,3.420631202,0.842254817,4.410945167,1.70634371,-1.203676309,-0.9463765,-0.49763767,-1.079724628,-0.173459411,3.945919798,-1.307632422,-1.369137851,-1.425061685,-0.361932122,-0.557324699,-0.985439939,-0.698919335,-0.624487904,-1.305379516,-0.780950478,0.331194542,0.420240653,-0.684047657,-0.841737232,0.518429779,-1.286329094,-0.840821806,-0.31741701,-0.708925369,-0.468499685,-0.742621893,-0.250789598,-0.422158527
1,0.824022054,-0.806105263,0.617171052,1.660559966,0.585726124,-1.323716872,0.631916583,0.337130245,0.029849435,-0.49763767,0.210692039,-0.767615937,-0.313732335,-1.307632422,-0.931748275,-0.774879755,0.576809917,1.269609009,0.413722875,-0.698919335,-0.106358829,-1.305379516,-0.537569984,-0.643985432,1.688734689,-0.796325842,-0.841737232,0.518429779,-1.286329094,-1.185532662,-0.31741701,1.044053725,-0.468499685,-0.742621893,-0.250789598,-0.422158527
1,-1.213559752,0.698182571,0.315846642,1.583303167,-0.417859003,-0.323665032,0.300803821,-0.809294389,-0.453435708,-0.49763767,-0.468022432,-0.244220071,-0.313732335,0.334568252,-1.003418163,-0.43024346,-0.805428631,-0.947097336,-0.985439939,-0.210580609,-0.767869833,-1.305379516,-0.18459668,-0.076262453,-0.655343992,-0.777220615,-0.841737232,-0.763505675,-0.762554373,-0.195795283,-0.31741701,-0.708925369,-0.468499685,-0.742621893,-0.250789598,-0.422158527
1,0.824022054,-0.802297924,0.169679958,0.236890197,-0.631647971,0.456162615,0.60488697,0.027904071,0.012263588,-0.49763767,-1.079724628,-0.196043338,-0.313732335,-1.307632422,-1.204328361,-0.380395465,-0.805428631,-0.567024992,-0.231005739,-0.066320608,-1.190581857,-0.535228808,-0.780950478,1.132066644,-0.420899926,-1.081850873,-0.841737232,-0.763505675,-1.286329094,-1.535847485,-0.31741701,-0.708925369,-0.468499685,-0.742621893,-0.250789598,-0.422158527
1,-1.213559752,0.545904779,-2.183958295,-0.826176546,0.842257011,-0.704513495,0.496768517,-0.837843922,-0.9463765,-0.49763767,-0.401391947,-0.196043338,-0.313732335,-0.630041365,-0.567364425,0.155250912,-0.805428631,-0.594658986,-0.285858532,1.931984145,-0.279136125,0.205339145,1.157222778,-1.71326999,1.944542038,-1.081850873,0.22813439,-0.763505675,-0.238779652,-0.021038791,-0.31741701,0.167564178,-0.468499685,0.005500903,-0.250789598,-0.422158527
1,0.824022054,0.460867238,-1.567488199,-0.760082306,0.590883875,0.437372899,-0.037066345,0.775807516,-0.429137408,0.711107462,-1.079724628,0.80747002,-0.313732335,0.400881125,-0.3906072,0.509557631,0.050780005,1.176562,0.468575668,0.466967966,1.09447333,0.737393056,0.871890794,1.663295923,0.1528583,-0.159184402,0.22813439,-0.763505675,-0.238779652,-0.765101418,-0.31741701,0.167564178,-0.468499685,0.753623699,-0.250789598,-0.422158527
1,-1.213559752,-0.058633548,1.083682796,0.659191705,-0.649219555,-0.287004958,1.138721832,-1.203676309,-0.456314764,-0.49763767,0.143679764,-0.767615937,-0.313732335,-0.556594835,1.115447446,-0.75757405,-0.805428631,-0.947097336,-0.985439939,-0.698919335,-0.345157808,-0.568108719,-0.780950478,-0.00811382,1.432562519,0.232018369,-0.841737232,-0.763505675,0.284995069,0.268692594,-0.31741701,-0.708925369,-0.006789851,-0.742621893,-0.250789598,-0.422158527
1,0.824022054,-0.109471328,0.909031553,-0.664695351,0.842257002,-0.243065934,0.321076031,-0.825251665,-0.391785658,0.214730616,0.16892433,-0.767615937,-0.313732335,0.314002569,-1.204328361,-1.091317868,-0.805428631,0.278719528,-0.340711326,-0.066320608,-0.767869833,-0.457691146,-0.780950478,0.503314532,0.136909429,-1.053016228,0.22813439,-0.763505675,-0.238779652,-0.430556107,-0.31741701,-0.708925369,-0.468499685,-0.742621893,-0.250789598,-0.422158527
1,0.824022054,0.477924365,-2.04276685,-0.580170236,0.590872675,-0.410291249,-0.847954742,-0.443462001,0.016267668,-0.49763767,-0.477264852,0.398113189,-0.313732335,1.118388971,0.251311087,1.096668087,-0.361932122,-0.63407994,-0.364108152,1.398695571,1.644093688,0.290373928,2.320867398,-0.635759468,-0.33233109,-0.323955573,0.22813439,0.518429779,0.284995069,1.42779632,-0.31741701,0.167564178,-0.468499685,0.005500903,-0.250789598,-0.422158527
1,0.824022054,0.641119025,0.097052021,-0.491727417,-0.639114958,-0.305427745,-1.179067504,0.865383924,0.048091363,1.63946719,1.992230113,-0.173459411,-0.313732335,1.548691405,0.539543255,0.265374787,1.493417853,-0.079422008,1.867738483,-0.698919335,0.64364817,0.367042632,-0.780950478,1.546558603,-0.318789194,0.247719438,0.22813439,0.518429779,0.80876979,-0.457907748,-0.31741701,1.920543272,-0.468499685,-0.742621893,-0.250789598,-0.422158527
1,-1.213559752,-1.448040651,0.990009812,-0.235775001,-0.640754841,1.481532016,0.854910893,-0.809294389,-0.9463765,-0.49763767,-1.079724628,-0.767615937,-0.313732335,1.284294615,-0.090013746,-1.069600484,-0.805428631,-0.509141503,-0.985439939,-0.698919335,-1.190581857,-0.85560392,-0.780950478,1.2054159,0.147934156,1.12578122,-0.841737232,-0.763505675,-1.286329094,0.619185604,-0.31741701,-0.708925369,3.686888828,-0.742621893,-0.250789598,-0.422158527
1,0.824022054,0.353393808,1.127485707,1.077691747,-0.648140796,0.204863076,0.848153489,-0.446827022,-0.9463765,-0.49763767,-0.468022432,-0.767615937,-0.313732335,-0.838432229,0.496737052,-1.091317868,0.06660276,0.78825332,-0.985439939,-0.698919335,-0.624487904,-1.305379516,-0.780950478,0.616900727,0.7892964,-0.179171347,3.437749254,-0.763505675,1.332544511,-0.652086577,-0.31741701,-0.708925369,-0.468499685,-0.742621893,-0.250789598,-0.422158527
