target,acid_group,base_pKa,MaxEStateIndex,qed,MolWt,FpDensityMorgan1,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BalabanJ,PEOE_VSA11,PEOE_VSA3,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA9,SMR_VSA9,SlogP_VSA4,EState_VSA3,EState_VSA5,EState_VSA8,VSA_EState8,FractionCSP3,NHOHCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumRotatableBonds,RingCount,MolLogP,fr_Al_OH,fr_Ar_NH,fr_Ar_OH,fr_NH1,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_bicyclic,fr_ether,fr_ketone,fr_methoxy,fr_piperdine
1,0.622699849,-0.959744043,-0.400939277,0.742952368,-0.686185602,0.277427338,0.590858712,1.402030876,-1.144009646,0.746308225,0.246192861,0.23589742,-0.313732335,-0.603832133,-1.204328361,0.484329135,0.697452982,-0.199257835,-0.894216277,-0.081757378,-0.85619094,-1.081850873,-1.590391347,-0.515742626,-0.641821345,-0.841737232,-0.253345873,-0.762554373,-0.606604452,-0.536782631,-0.31741701,-0.2786656,0.167564178,-0.266206953,-0.363177581,-0.468499685,-0.703741026,0.005500903,-0.441941738,-0.422158527,-0.2786656
1,-1.605910137,0.860666471,0.213665176,-1.419042421,1.294339921,-0.791801447,0.842345395,0.645043603,0.494379144,-1.561094788,-0.637153716,2.058838565,-0.313732335,0.091993227,0.690365972,0.514317579,0.690134632,-1.04538138,0.543019177,-0.481884042,1.29797013,0.594705841,-0.353508349,-1.210207945,-0.641821345,1.298006011,1.192320086,1.856319232,0.649031856,-0.536782631,-0.31741701,-0.2786656,-0.708925369,-0.266206953,-0.363177581,-0.468499685,-0.703741026,1.501746494,-0.441941738,-0.422158527,-0.2786656
1,-1.605910137,1.721117743,-3.373166337,0.698629055,-1.544113258,1.978473131,-0.752084149,1.501572818,-2.579665095,0.742235658,-0.637153716,-0.767615937,-0.313732335,-1.073032326,-1.171013509,-1.130382703,-0.657124366,-1.04538138,-1.252358387,-1.09454844,-0.586286749,-0.884749196,-0.338508833,-0.515742626,-0.641821345,-0.841737232,-0.735234525,-1.286329094,-1.459717267,-0.536782631,-0.31741701,-0.2786656,0.167564178,-0.266206953,-0.363177581,-0.468499685,-0.703741026,-0.742621893,-0.441941738,-0.422158527,-0.2786656
1,0.622699849,0.679210761,0.330819427,-0.037330826,-0.021753613,0.518866095,-0.618837227,-0.249588485,0.638213846,-2.980780048,-0.637153716,-0.196043338,-0.313732335,-0.294952929,0.425955025,-0.23978005,-0.657124366,-0.550312953,-0.040892777,-1.09454844,-0.827418801,1.213645921,1.738597778,1.567653329,0.104227398,0.22813439,0.469487107,-0.762554373,-0.639747156,-0.536782631,-0.31741701,-0.2786656,0.167564178,-0.266206953,-0.363177581,-0.468499685,-0.197345367,0.005500903,-0.441941738,-0.422158527,-0.2786656
1,-1.605910137,1.475274523,-3.389473115,0.527761334,-1.414325263,2.375383814,-0.725971425,0.747881201,-0.788655106,0.38638404,-0.637153716,-0.767615937,-0.313732335,-1.073032326,-0.529927878,-1.130382703,-0.657124366,-1.04538138,-0.876006848,0.293925966,0.028020131,-0.840319024,0.186474157,-1.210207945,-0.641821345,0.22813439,-1.217123178,-0.762554373,-1.012112569,-0.536782631,-0.31741701,-0.2786656,-0.708925369,-0.266206953,-0.363177581,-0.468499685,-0.703741026,-0.742621893,-0.441941738,-0.422158527,-0.2786656
1,0.622699849,0.59140961,0.440657772,-1.574514485,0.871090892,0.75869883,0.585744337,0.301639855,0.969990672,-0.599949001,1.028786331,0.992269716,6.08110681,-0.873275982,-0.486466243,0.039801307,-0.657124366,-0.013172613,-0.546854569,0.859254176,-0.095713896,0.157239162,-0.233512235,0.873188011,-0.641821345,1.298006011,0.710431433,0.284995069,-0.811732847,-0.536782631,-0.31741701,-0.2786656,0.167564178,-0.266206953,-0.363177581,-0.006789851,-0.197345367,0.753623699,-0.441941738,-0.422158527,-0.2786656
1,-1.605910137,-0.266114957,-0.417663781,0.236065317,-0.990438211,2.276156145,0.590452357,2.858368323,-0.919911512,1.456395893,1.769080424,1.374512967,-0.313732335,-1.039875889,-1.655035354,-0.725321515,-0.657124366,0.379954417,-0.889551147,-0.840386564,-0.843520632,-0.445956753,0.711457147,-1.210207945,-0.641821345,-0.841737232,-0.253345873,-1.286329094,-1.59740204,-0.536782631,-0.31741701,-0.2786656,-0.708925369,-0.266206953,-0.363177581,-0.468499685,-0.703741026,-0.742621893,-0.441941738,-0.422158527,-0.2786656
1,0.622699849,-0.959744043,-0.037755963,-1.067624857,-0.326250465,1.00824701,-0.63187857,-0.105611078,0.147617328,0.81498329,-0.637153716,-0.196043338,-0.313732335,0.926031461,-0.749333502,-0.270816287,-0.657124366,0.439823903,0.316148895,-1.09454844,-0.414691947,-0.232186568,1.140988683,0.873188011,0.104227398,-0.841737232,1.674208738,-1.286329094,-0.103851006,1.610347894,-0.31741701,-0.2786656,-0.708925369,-0.266206953,-0.363177581,-0.006789851,-0.703741026,-0.742621893,1.060660172,-0.422158527,-0.2786656
1,0.622699849,0.196304434,0.089072258,1.579393172,-0.57135129,0.425344361,0.590883841,0.922109501,0.057735011,0.230944156,1.122960715,0.830053947,-0.313732335,-0.603832133,-0.998377979,-0.785689358,-0.657124366,-1.04538138,-1.252358387,0.317710955,-0.586286749,-1.081850873,-1.633466874,0.178722692,-0.641821345,0.22813439,-0.976178852,-0.238779652,-1.131185754,0.536782631,-0.31741701,-0.2786656,0.167564178,-0.266206953,-0.363177581,-0.468499685,-0.197345367,-0.742621893,-0.441941738,-0.422158527,-0.2786656
1,0.622699849,-0.084659246,0.869757679,1.121699762,-0.481813624,0.359077536,-0.417535804,-0.462029085,0.276372437,0.28290268,0.256595574,3.143174419,-0.313732335,-0.805275793,-1.616229126,0.167671685,-0.657124366,0.414555134,-0.874479088,0.255545363,-0.114574965,-0.833701987,-0.863491823,-0.515742626,-0.641821345,-0.841737232,-0.253345873,-0.238779652,-0.865732291,0.536782631,-0.31741701,-0.2786656,-0.708925369,-0.266206953,-0.363177581,-0.468499685,-0.703741026,-0.742621893,-0.441941738,-0.422158527,-0.2786656
