target,acid_group,acid_pka,base_group,base_pKa,MaxEStateIndex,MinEStateIndex,MinAbsEStateIndex,qed,MolWt,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,FpDensityMorgan1,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_MRLOW,BalabanJ,HallKierAlpha,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA9,SMR_VSA10,SMR_VSA4,SMR_VSA6,SMR_VSA7,SMR_VSA9,SlogP_VSA10,SlogP_VSA11,SlogP_VSA4,SlogP_VSA7,SlogP_VSA8,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,VSA_EState1,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState7,VSA_EState8,FractionCSP3,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticHeterocycles,MolLogP,fr_Al_COO,fr_ArN,fr_Ar_COO,fr_Ar_NH,fr_Ar_OH,fr_HOCCN,fr_Imine,fr_NH2,fr_Ndealkylation1,fr_Ndealkylation2,fr_alkyl_carbamate,fr_allylic_oxid,fr_amidine,fr_aniline,fr_aryl_methyl,fr_guanido,fr_hdrzine,fr_imidazole,fr_imide,fr_lactam,fr_morpholine,fr_oxime,fr_para_hydroxylation,fr_piperdine,fr_piperzine,fr_priamide,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiophene,fr_urea
1,0.539910426,-0.013008258,-1.815393118,-1.408987287,1.075730928,-0.81339896,-0.773543846,-2.023155034,2.723864871,0.586901882,-0.522033395,0.463276317,-1.194422759,-0.544352376,1.171927261,-0.959759588,-0.862973643,-0.515540919,-0.727634373,0.253921566,0.180478675,2.434780913,0.423170601,1.158128215,-0.130403419,-0.447515487,-0.364594632,1.87281787,2.544236186,1.75710701,0.48851232,2.984623798,1.468384404,0.062925909,-0.678693704,-0.720385516,-0.551820955,2.687180364,-0.401367337,-0.608626183,-0.14572298,4.073104345,3.124245193,-0.49902537,-0.168473265,1.902547956,2.128036608,-0.983078472,1.026837202,1.435876035,-0.441081271,-2.635642279,1.952623545,2.186857846,1.383501706,0.447360296,2.335679068,1.923084248,-0.771786832,1.420602267,-0.305157311,-0.279016059,-0.191931537,-0.334828252,-0.272823992,-0.140680034,-0.2,-0.465463157,-0.30651217,-0.354735054,-0.138770391,4.418636472,-0.136222983,-0.609065528,-0.477098113,-0.125768753,-0.119890436,-0.281443265,-0.165282401,-0.1473657,-0.132316756,-0.110883191,-0.347963078,2.16404631,-0.283339822,-0.229936697,-0.402952868,-0.129112729,-0.226679067,-0.124162146,-0.12830006,-0.101118489,-0.116524407,-0.214125785
1,0.539910426,-0.135959406,0.550844878,0.469284503,1.99996164,0.08941941,-0.642464893,-2.314896734,3.457186785,1.309786892,-0.423102645,0.362289289,-2.350137318,-0.235846846,0.643079264,-0.572037615,-0.45732026,-1.652741947,-3.459428558,1.162720453,0.782831141,-0.557154532,1.664808317,0.200710806,5.008184266,-0.447515487,-0.364594632,-0.604447396,3.240748158,4.355594617,2.021305521,-0.624756859,2.887024391,2.623753026,-0.678693704,4.675046496,-0.551820955,2.065761768,-0.401367337,2.191626989,10.68010379,2.201636911,5.477740188,-0.853228732,3.289578934,3.029644115,-0.92361918,0.011817957,4.279548378,-0.428639766,-0.137281509,-1.07295233,-0.347538598,0.201948779,0.192860986,-0.479247612,3.376098779,1.923084248,1.585324112,2.791843805,-0.305157311,-0.279016059,-0.191931537,5.133110804,-0.272823992,-0.140680034,-0.2,-0.465463157,-0.30651217,5.344098006,9.654454355,-0.252133322,-0.136222983,1.683341106,-0.477098113,-0.125768753,-0.119890436,6.418940974,-0.165282401,-0.1473657,-0.132316756,-0.110883191,-0.347963078,2.16404631,-0.283339822,-0.229936697,-0.402952868,-0.129112729,-0.226679067,-0.124162146,-0.12830006,-0.101118489,-0.116524407,-0.214125785
1,0.539910426,-0.103339714,-1.815393118,-1.408987287,1.020225956,-0.864682861,-0.800703976,-1.785890185,1.994092229,0.589818836,-0.465041617,0.405099964,-0.874731921,-0.451433816,1.359152997,-1.208283917,-0.980486547,-0.384993449,-0.309908563,-0.644323154,0.180478675,2.434780913,0.423170601,0.67941951,-0.130403419,-0.447515487,1.005548326,0.758952222,2.106178747,1.229740981,0.174348114,2.383060355,0.664892092,-0.360294825,-0.678693704,-0.720385516,-0.551820955,2.114480366,-0.401367337,-0.608626183,-0.14572298,2.371266708,2.693219145,-0.852697023,0.296927611,0.952327118,0.806391093,-0.665366231,0.742083998,1.527067272,-0.349389194,-2.56657448,0.504378847,2.247392747,1.459805217,0.447360296,2.335679068,1.923084248,-0.771786832,0.763226466,-0.305157311,-0.279016059,-0.191931537,-0.334828252,-0.272823992,-0.140680034,-0.2,-0.465463157,-0.30651217,-0.354735054,-0.138770391,2.861713207,-0.136222983,-0.609065528,-0.477098113,-0.125768753,-0.119890436,-0.281443265,-0.165282401,-0.1473657,-0.132316756,-0.110883191,-0.347963078,2.16404631,-0.283339822,-0.229936697,-0.402952868,-0.129112729,-0.226679067,-0.124162146,-0.12830006,-0.101118489,-0.116524407,-0.214125785
1,0.539910426,-1.649011296,0.550844878,-0.170006799,0.697112383,-2.16203053,-0.72091449,-0.725114719,1.017489106,1.214175339,-0.735456475,0.6811354,0.228408176,-0.089939161,0.895225663,-0.424005554,-0.716532145,-0.546598284,-0.86687631,0.259298354,0.189760656,3.51993777,0.464509409,0.189454899,2.390443307,2.947438895,0.697267546,-0.823375347,0.719520675,0.202611727,0.082289827,1.243653687,0.06760699,-0.146054099,0.886013935,1.666943839,0.628184623,1.017749569,-0.401367337,0.129654246,-0.14572298,1.683299108,-0.689762805,-0.043256585,2.114112962,-0.400913744,0.06149515,0.312468718,3.001489693,-0.218955745,-1.362705697,0.053842158,-0.682249218,1.402874046,0.467300594,-0.479247612,0.254839646,-0.191951637,2.763879584,0.502090236,-0.305157311,-0.279016059,-0.191931537,-0.334828252,-0.272823992,-0.140680034,-0.2,-0.465463157,-0.30651217,-0.354735054,-0.138770391,-0.252133322,-0.136222983,0.537137789,3.027533381,-0.125768753,-0.119890436,-0.281443265,-0.165282401,-0.1473657,-0.132316756,-0.110883191,-0.347963078,-0.333708076,-0.283339822,-0.229936697,1.846298169,-0.129112729,-0.226679067,-0.124162146,-0.12830006,-0.101118489,-0.116524407,-0.214125785
1,0.539910426,-1.566207461,0.550844878,-0.113432348,1.125508188,-1.792820587,-0.733443666,-1.017587425,1.818460118,1.314325827,-1.02327314,0.97493434,-0.274924204,-0.336543098,1.653431963,-0.511988428,-0.47171091,-1.292339998,-1.430474625,-0.644323154,2.372176579,0.954672531,0.447921731,1.15089524,2.442874999,-0.447515487,1.005548326,0.553704457,1.074862441,1.186575952,1.338412023,1.128811396,-0.199762021,-0.33868606,0.876871295,-0.117611578,1.782005966,0.92041117,-0.401367337,0.791500404,-0.14572298,1.117482652,2.067547215,0.608683536,-0.236143395,0.014050946,0.805376622,0.076195205,1.50696683,-0.440771334,-0.897230555,-0.388966711,0.709166653,1.295544131,0.861807537,2.300576112,1.295259357,2.628096209,0.40676864,0.199128672,-0.305157311,-0.279016059,-0.191931537,-0.334828252,-0.272823992,-0.140680034,-0.2,-0.465463157,-0.30651217,-0.354735054,4.757841982,-0.252133322,-0.136222983,-0.609065528,1.275217634,-0.125768753,-0.119890436,-0.281443265,-0.165282401,-0.1473657,-0.132316756,-0.110883191,-0.347963078,-0.333708076,-0.283339822,-0.229936697,-0.402952868,-0.129112729,-0.226679067,-0.124162146,-0.12830006,-0.101118489,-0.116524407,-0.214125785
1,-1.852159084,0.87525106,0.550844878,0.158125019,0.294729618,-2.341586821,-0.682498125,-1.273693351,0.71853167,2.835098046,-0.935791684,2.03640739,-0.254660431,0.264455635,0.516475849,-0.421828054,-1.256953205,-1.522778908,-1.224927004,0.225623453,-0.39787491,-0.557154532,2.863913895,-0.300706311,-0.801449004,-0.447515487,2.378476533,-1.114371794,0.768615276,-0.548599446,-0.474147012,-0.624756859,0.465575464,0.689258598,2.432436294,2.381967645,4.115832888,0.229784366,-0.401367337,-0.608626183,-0.14572298,1.040023263,0.082160013,0.581937605,1.039417436,-0.5688751,0.715272573,-0.27700809,2.228574032,-0.042856844,-0.684004956,0.30752275,-0.891364696,0.055259281,-0.119314074,-0.479247612,1.295259357,0.513060324,0.40676864,0.901941113,-0.305157311,-0.279016059,-0.191931537,-0.334828252,-0.272823992,-0.140680034,-0.2,-0.465463157,-0.30651217,-0.354735054,-0.138770391,-0.252133322,-0.136222983,0.537137789,-0.477098113,-0.125768753,-0.119890436,3.068748855,-0.165282401,-0.1473657,-0.132316756,-0.110883191,-0.347963078,2.16404631,-0.283339822,-0.229936697,-0.402952868,-0.129112729,-0.226679067,-0.124162146,-0.12830006,-0.101118489,-0.116524407,-0.214125785
1,0.539910426,-1.533587769,-1.815393118,-1.408987287,-0.266437708,0.296287961,1.074453372,1.174100231,-0.834657573,0.416605738,-0.805541727,0.752677375,0.248691721,-0.014192517,-1.018750754,1.071647039,-0.457004136,1.19994219,0.664784993,-0.644323154,-0.39787491,-0.557154532,0.423170601,-0.277997898,-0.801449004,-0.447515487,-0.364594632,0.487469896,-0.374603301,-0.595095789,-0.774877033,-0.023193416,-1.03005755,-0.380670304,-0.678693704,-0.720385516,-0.551820955,-0.176319627,-0.401367337,-0.608626183,-0.14572298,-1.05552531,-0.731842908,-0.499557079,-0.590439301,-0.409305459,0.351452603,-0.314351441,-0.716577814,-0.17859182,-0.208282387,-0.103207913,-0.293138664,0.543207819,0.141403559,-0.479247612,-0.785580065,-0.896963599,-0.771786832,0.102644366,1.895539208,-0.279016059,-0.191931537,-0.334828252,-0.272823992,-0.140680034,-0.2,-0.465463157,-0.30651217,-0.354735054,-0.138770391,-0.252133322,-0.136222983,-0.609065528,-0.477098113,-0.125768753,-0.119890436,-0.281443265,-0.165282401,-0.1473657,-0.132316756,-0.110883191,-0.347963078,-0.333708076,-0.283339822,-0.229936697,-0.402952868,-0.129112729,-0.226679067,-0.124162146,-0.12830006,-0.101118489,-0.116524407,-0.214125785
1,0.539910426,0.155108619,0.550844878,0.042147394,0.791457183,0.268248775,-0.785346293,-2.022922724,2.420459017,1.309009735,-0.423116768,0.362303706,-2.37412651,-0.298418012,0.53008291,-0.445621922,-0.460326742,-1.366831158,-2.524518412,-0.644323154,1.963537191,-0.557154532,1.664808317,1.158128215,0.540642166,-0.447515487,-0.364594632,2.45237653,2.616998081,0.916979898,1.77331714,0.578370026,1.575081738,1.584616129,-0.678693704,2.630233776,-0.551820955,0.396380371,-0.401367337,-0.608626183,-0.14572298,2.608778851,2.237269015,0.473833144,0.340362451,-0.214563838,1.806732483,3.6273538,-0.251453189,-0.010671793,0.751164167,-0.443833532,0.060464729,2.653156373,0.389085307,-0.479247612,2.335679068,1.218072286,-0.771786832,2.049163559,-0.305157311,-0.279016059,-0.191931537,-0.334828252,-0.272823992,-0.140680034,-0.2,-0.465463157,-0.30651217,5.344098006,9.654454355,-0.252133322,-0.136222983,2.829544423,-0.477098113,-0.125768753,-0.119890436,-0.281443265,-0.165282401,-0.1473657,-0.132316756,-0.110883191,-0.347963078,-0.333708076,-0.283339822,-0.229936697,-0.402952868,-0.129112729,-0.226679067,-0.124162146,-0.12830006,-0.101118489,-0.116524407,-0.214125785
1,0.539910426,-1.034255553,-1.815393118,-1.408987287,-0.062633173,-1.54223206,-0.58756243,0.497559705,-0.35181479,0.072181259,-0.450902336,0.390666797,0.011084495,0.740501157,-0.888000473,0.905514067,-1.242320596,0.667229203,-0.1971889,0.248682191,0.603834962,0.898420697,-0.768964856,0.724629308,0.376709655,-0.447515487,-0.364594632,-0.349485197,-0.839317606,0.666978795,0.063262052,-0.624756859,-0.362524105,0.464122996,0.859418724,0.709662095,1.755821731,0.229784366,-0.401367337,-0.608626183,-0.14572298,0.129232839,-0.743147114,-0.815094493,0.236678829,1.175673882,-0.92361918,-0.755037431,0.775146696,-0.046202003,-0.79412216,0.257177993,-0.304745089,-0.91715145,-1.488081638,-0.479247612,-0.785580065,-0.896963599,-0.771786832,-0.030079564,-0.305157311,-0.279016059,-0.191931537,-0.334828252,-0.272823992,-0.140680034,-0.2,-0.465463157,-0.30651217,-0.354735054,-0.138770391,-0.252133322,-0.136222983,0.537137789,-0.477098113,-0.125768753,-0.119890436,-0.281443265,-0.165282401,-0.1473657,-0.132316756,-0.110883191,1.841766356,-0.333708076,-0.283339822,-0.229936697,-0.402952868,-0.129112729,-0.226679067,-0.124162146,-0.12830006,-0.101118489,-0.116524407,-0.214125785
1,0.539910426,0.235403246,0.550844878,-1.001651236,1.124644919,0.147535538,-0.785682665,-1.577973496,1.40648444,0.224308604,1.031207972,-1.122249204,-1.007232188,-0.442764172,1.135940704,-0.688080608,-0.482518474,-1.067225749,-1.052532225,-0.644323154,1.951151369,2.466499594,-0.768964856,2.613169026,-0.103889124,-0.447515487,-0.364594632,1.398911508,1.063543253,-0.126254902,0.819499259,1.730374839,-0.632089077,-0.784228429,-0.678693704,-0.720385516,-0.551820955,1.493111168,-0.401367337,-0.608626183,-0.14572298,1.393423118,0.17228929,2.377041802,0.262301448,-0.546340288,0.5316607,0.525338351,-0.716577814,-0.000871757,-0.947017815,-1.008080109,2.335950212,0.975483399,1.245832411,2.300576112,0.254839646,1.923084248,0.40676864,-0.162001918,-0.305157311,-0.279016059,-0.191931537,-0.334828252,-0.272823992,-0.140680034,-0.2,-0.465463157,-0.30651217,2.494681476,-0.138770391,-0.252133322,-0.136222983,-0.609065528,-0.477098113,-0.125768753,-0.119890436,-0.281443265,-0.165282401,-0.1473657,-0.132316756,-0.110883191,-0.347963078,-0.333708076,-0.283339822,-0.229936697,-0.402952868,-0.129112729,-0.226679067,-0.124162146,-0.12830006,-0.101118489,-0.116524407,-0.214125785
