target,FpDensityMorgan1,BCUT2D_MWHI,SMR_VSA4,SlogP_VSA10,SlogP_VSA12,SlogP_VSA7,SlogP_VSA8,EState_VSA4,FractionCSP3,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumSaturatedRings,fr_Ar_OH,fr_Ndealkylation2,fr_bicyclic,fr_ester,fr_ether,fr_lactone
1,0.04147241,6.778644218,-0.882587075,-0.611193724,3.466006069,-0.407640853,1.163766632,2.215474471,-0.481320661,-0.654186561,-0.841178475,-1.15425531,-1.028284325,-0.489009647,-0.348366507,-0.401748307,-0.461083968,-0.217459828,-0.322873202
1,-0.242709038,0.761839376,-0.882587075,1.575064729,1.510299597,2.312386264,-0.405774738,2.242385898,-0.337982461,-0.654186561,0.480673415,-0.096187942,-0.22985179,-0.489009647,-0.348366507,-0.401748307,-0.461083968,-0.217459828,-0.322873202
1,1.298975315,0.764531714,-0.882587075,0.481935502,1.510299597,-0.407640853,-0.405774738,-0.886436776,-0.63117423,-0.654186561,-0.841178475,-1.15425531,-1.028284325,-0.489009647,-0.348366507,-0.764972804,-0.461083968,-0.69587145,-0.322873202
1,-0.010876804,0.761745435,-0.882587075,1.575064729,1.510299597,2.312386264,-0.405774738,-0.886436776,-1.835354714,-0.654186561,-0.841178475,-1.15425531,-1.028284325,-0.489009647,-0.348366507,-0.764972804,-0.461083968,-0.69587145,-0.322873202
1,0.773786141,-0.500715139,1.6715734,-0.611193724,-0.554138639,-0.407640853,-0.405774738,0.276315812,1.206315986,2.224234309,-0.841178475,0.961879425,1.367013279,-0.489009647,-0.348366507,1.05114968,-0.461083968,-0.69587145,-0.322873202
1,0.462060952,0.76167014,-0.882587075,-0.611193724,0.478080479,0.952372705,1.154277274,-0.886436776,-1.479029961,-0.654186561,-0.841178475,-1.15425531,-1.028284325,-0.489009647,-0.348366507,-0.401748307,-0.461083968,-0.217459828,-0.322873202
1,-0.602285563,0.761745625,-0.882587075,1.575064729,1.510299597,2.312386264,0.408008578,1.622194114,-0.599062754,-0.654186561,0.480673415,-0.096187942,0.568580744,-0.489009647,-0.348366507,-0.764972804,-0.461083968,0.739363415,-0.322873202
1,-0.746116172,-0.490840411,-0.353779321,-0.611193724,-0.554138639,-0.407640853,-0.405774738,-0.329841645,-0.326784166,-0.654186561,1.141599359,0.432845741,1.367013279,-0.489009647,-0.348366507,0.324700686,-0.461083968,-0.217459828,-0.322873202
1,0.931907614,-0.49040441,-0.882587075,2.768505538,-0.554138639,-0.407640853,-0.405774738,0.287537545,0.159719617,-0.654186561,-0.18025253,-0.625221626,-0.22985179,-0.489009647,-0.348366507,-0.764972804,-0.461083968,-0.69587145,-0.322873202
1,1.592629479,-0.485202584,0.670910087,0.310327774,-0.554138639,-0.407640853,-0.405774738,-0.886436776,0.068142431,0.065418656,1.141599359,0.961879425,0.568580744,-0.489009647,-0.348366507,0.687925183,-0.461083968,0.260951794,-0.322873202
