target,acid_group,acid_pka,base_group,base_pKa,MinEStateIndex,MinAbsEStateIndex,MaxPartialCharge,FpDensityMorgan1,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGLO,BCUT2D_MRLOW,BalabanJ,PEOE_VSA10,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA3,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,SMR_VSA10,SMR_VSA6,SMR_VSA7,SMR_VSA9,SlogP_VSA11,EState_VSA2,EState_VSA4,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState4,VSA_EState5,VSA_EState8,VSA_EState9,FractionCSP3,RingCount,MolLogP,fr_Al_COO,fr_ArN,fr_Ndealkylation1,fr_Ndealkylation2,fr_allylic_oxid,fr_imide,fr_lactone,fr_nitro,fr_piperdine,fr_sulfonamd,fr_urea
1,0.526651041,-0.204334324,0.508422416,1.11499969,1.255145398,2.191633185,-2.421878224,2.464411862,0.598561831,2.267086312,3.407504471,3.565626398,-0.086408551,-0.808355344,-0.386030685,-0.551164483,-0.747546967,-0.811173086,-1.090978139,-1.52158297,-0.486204165,-0.400121197,-0.304907915,-1.643240709,-0.684206917,-0.558910617,-1.021925143,-0.825457087,-0.930184919,-0.357532895,-0.459096916,0.488639141,0.345408897,-0.728478112,-0.20125112,2.44774644,-1.90136023,-1.182692257,-0.299940983,-0.293384409,-0.334072344,-0.369080422,-0.205891311,-0.171636676,-0.15896779,-0.146910632,-0.342082159,-0.270247899,-0.220021539
1,-1.898790511,0.866821442,0.508422416,1.497463508,1.562119363,4.220484147,-2.37371099,-1.978286807,-0.71080591,1.259260783,0.92248117,1.622689059,-0.045212185,-0.808355344,-0.386030685,-0.551164483,-0.747546967,-0.811173086,-1.090978139,-1.52158297,0.343227088,-1.081611047,0.530665379,-1.643240709,-0.684206917,-0.558910617,-1.021925143,0.300714896,-0.930184919,-0.453946545,-1.026583339,-0.801134035,0.079472066,0.259844318,-0.20125112,2.44774644,-1.271516173,-1.48199916,-0.299940983,-0.293384409,-0.334072344,-0.369080422,-0.205891311,-0.171636676,-0.15896779,-0.146910632,-0.342082159,-0.270247899,-0.220021539
1,0.526651041,-0.006620994,0.508422416,0.344320718,-1.763927495,-0.504837716,0.481061826,-2.606360631,0.857449836,-0.374957559,-0.435355336,0.114877106,-2.153962113,-0.808355344,1.569144679,-0.551164483,1.669477866,4.372961964,1.950455753,2.829139604,4.59720689,3.155178367,6.136466889,2.98996554,-0.684206917,-0.558910617,6.851474902,0.697770889,1.130287683,0.989813445,5.441515015,0.67535756,0.015601578,0.676949081,-1.628960826,0.238809203,1.877704115,1.519846438,-0.299940983,-0.293384409,4.33198728,-0.369080422,-0.205891311,-0.171636676,-0.15896779,-0.146910632,-0.342082159,5.869784357,8.498971546
1,-1.898790511,0.866821442,0.508422416,0.329942378,1.594897939,4.437124164,-1.929301193,-3.071874173,-0.661137019,1.032841623,-1.796126439,-0.653455781,-0.212628604,-0.808355344,-0.386030685,-0.551164483,-0.747546967,-0.811173086,-1.090978139,-1.52158297,-1.221001131,-1.081611047,1.363331673,-1.643240709,-0.684206917,-0.558910617,-1.021925143,-1.142633627,-0.930184919,-0.020683932,-1.026583339,-0.801134035,0.079472066,0.915705954,-0.20125112,2.44774644,0.618016,-1.567613755,-0.299940983,-0.293384409,-0.334072344,-0.369080422,-0.205891311,-0.171636676,-0.15896779,-0.146910632,-0.342082159,-0.270247899,-0.220021539
1,-1.898790511,0.866821442,0.508422416,1.44282582,0.973603445,0.330867369,-2.398258055,0.618983183,-0.74281096,0.28757967,1.416144049,2.259198116,0.912775306,-0.808355344,-0.386030685,-0.551164483,-0.747546967,-0.811173086,0.214431228,-0.765822377,-0.859993886,-1.081611047,-1.045146143,-0.326115767,-0.684206917,-0.558910617,-0.599919056,-0.788629488,0.419236983,-0.381503518,-0.459096916,1.007052375,0.079472066,-0.387154324,-0.20125112,-0.384224377,-1.271516173,-0.450708983,-0.299940983,-0.293384409,-0.334072344,-0.369080422,-0.205891311,-0.171636676,-0.15896779,-0.146910632,-0.342082159,-0.270247899,-0.220021539
1,-1.898790511,0.866821442,0.508422416,1.603863217,1.063026522,0.921881971,-2.229937657,-0.269556552,-0.711895036,-0.931440467,-1.288580338,0.182503702,0.517488974,-0.808355344,-0.386030685,-0.551164483,-0.747546967,-0.811173086,-0.495016088,0.49630937,-0.890043695,-1.081611047,-0.620920931,-1.643240709,-0.684206917,-0.558910617,-1.021925143,-0.490080619,-0.930184919,0.633411181,-1.026583339,-0.56582128,0.719415614,0.957610195,0.64514901,2.44774644,-0.641672115,-0.08747078,-0.299940983,-0.293384409,-0.334072344,-0.369080422,-0.205891311,-0.171636676,-0.15896779,-0.146910632,-0.342082159,-0.270247899,-0.220021539
1,-1.898790511,0.866821442,0.508422416,1.457204159,0.729512316,-0.427785338,-2.317588225,0.134325147,-0.735532704,-0.054409436,0.519394589,1.567492979,1.027569603,-0.808355344,-0.386030685,-0.551164483,-0.747546967,-0.811173086,0.214431228,-0.489077883,-0.890043695,-1.081611047,-1.045146143,-0.326115767,-0.684206917,-0.558910617,-0.635046336,-0.788629488,0.791131371,-0.381503518,-0.459096916,1.042374915,0.079472066,0.139307584,-0.20125112,-0.101027294,-1.271516173,-0.282878563,-0.299940983,-0.293384409,-0.334072344,-0.369080422,-0.205891311,-0.171636676,-0.15896779,-0.146910632,-0.342082159,-0.270247899,-0.220021539
1,0.526651041,0.411329971,0.508422416,1.520468851,-0.327043018,-0.703592595,-0.160610876,-1.766500524,0.674933984,0.052429849,-0.191994031,-0.472243198,-0.755742514,2.014987078,3.64692639,-0.551164483,-0.747546967,-0.811173086,3.232173122,1.229668634,1.255514,2.903084328,0.439069879,2.312921762,-0.684206917,-0.558910617,2.032757903,0.955436572,0.699027604,1.071494683,0.108389506,3.106274749,-1.93907272,-0.334788411,0.617860199,0.107035868,1.247860058,-1.475373709,-0.299940983,-0.293384409,-0.334072344,-0.369080422,-0.205891311,-0.171636676,-0.15896779,-0.146910632,-0.342082159,-0.270247899,-0.220021539
1,-1.898790511,0.866821442,0.508422416,1.20702106,-2.073337125,-0.015411381,1.426450359,0.670245091,-0.373842054,0.152159514,0.759278053,-0.474879863,1.179143662,-0.808355344,-0.386030685,-0.551164483,0.490057366,-0.811173086,-0.009751493,-0.261750821,-0.859993886,-1.081611047,-0.651193263,-0.344569516,-0.684206917,-0.558910617,-0.599919056,-0.447334776,-0.186396142,-0.71086712,-1.026583339,-0.765685238,0.079472066,0.311129858,-0.20125112,0.323768328,-1.271516173,0.267593166,-0.299940983,-0.293384409,1.998957468,-0.369080422,-0.205891311,-0.171636676,-0.15896779,-0.146910632,-0.342082159,-0.270247899,-0.220021539
1,-1.898790511,0.866821442,0.508422416,0.272429022,1.268379363,2.279099051,-1.888118664,0.755681603,-0.705849892,0.566948576,0.8498197,1.106371449,0.73885839,-0.808355344,-0.386030685,-0.551164483,-0.747546967,-0.811173086,0.469232507,-1.017511415,-0.829944076,-1.081611047,-0.22696805,-0.326115767,1.00715108,-0.558910617,-1.021925143,-0.781796496,0.425893887,0.141362673,-0.390835998,-0.462199251,0.957445662,-0.488209108,0.602683953,-0.641676267,-1.271516173,-0.375290699,-0.299940983,-0.293384409,-0.334072344,-0.369080422,-0.205891311,-0.171636676,-0.15896779,-0.146910632,-0.342082159,-0.270247899,-0.220021539
