target,MaxEStateIndex,MinEStateIndex,MinAbsEStateIndex,qed,MolWt,MaxPartialCharge,MaxAbsPartialCharge,FpDensityMorgan1,BCUT2D_MWHI,BCUT2D_CHGHI,BalabanJ,HallKierAlpha,PEOE_VSA1,PEOE_VSA10,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA6,SMR_VSA7,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA3,SlogP_VSA8,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA6,EState_VSA7,EState_VSA9,VSA_EState1,VSA_EState5,VSA_EState6,NHOHCount,NumAliphaticHeterocycles,NumAromaticHeterocycles,NumRotatableBonds,RingCount,MolLogP,fr_Al_COO,fr_Ar_NH,fr_NH1,fr_Ndealkylation1,fr_alkyl_carbamate,fr_ether,fr_methoxy,fr_sulfonamd
1,0.902480484,-0.627785275,-0.740625563,-1.59344563,2.553405094,0.432817572,0.291769585,-1.103421603,-0.610622822,0.896823333,-0.37738567,-0.543871593,2.552888418,1.607377197,0.20025111,1.762858999,0.271241928,1.367084155,-0.196043338,-0.440614002,-0.313732335,2.415374296,1.519137601,3.288415979,0.443995437,-0.204210988,-0.369412935,1.776531027,-0.179939731,-0.657124366,-0.985439939,-0.698919335,-0.525833016,3.428741203,-0.55909501,-0.254210831,3.741040637,2.694422407,1.658872503,1.819284386,2.07946954,0.737226078,-2.960569827,-1.183751271,0.873188011,2.367877633,-0.763505675,0.710431433,0.284995069,0.925176514,-0.344657911,-0.31741701,-0.708925369,-0.225519812,-0.266206953,3.746114882,3.166188951,-0.338753743
1,1.960718857,0.236079322,-0.566286623,-1.863854937,3.325807655,1.120622373,0.188192844,-2.427235474,-0.417353188,0.372877557,-1.457786526,-3.327921758,3.364427706,3.025433135,0.927098903,-0.616091285,1.503234613,0.143679764,4.180821646,-0.440614002,-0.313732335,2.334566131,3.98576211,2.756896263,2.049660117,-0.204210988,2.78681165,3.323034079,2.316502151,-0.657124366,1.703180101,4.074548899,-0.525833016,1.325350817,1.89735124,7.793388355,1.899571939,4.878282358,2.752144898,-0.898672324,2.13361682,3.569707047,-1.176817569,0.225708463,1.567653329,3.437749254,1.800365233,2.156097391,3.427643395,2.373076146,-0.344657911,4.226658085,2.797032819,-0.225519812,4.561012458,2.24986929,4.362304777,-0.338753743
1,0.838927639,-0.676856436,-0.77674935,-1.373529783,1.784740953,0.435592972,0.232101356,-0.737231559,-0.608924944,1.082313556,-0.253358699,-0.118155184,2.187056031,1.090138105,0.20025111,1.762858999,0.271241928,0.755381959,-0.196043338,-0.440614002,0.908009424,2.002470724,1.018533337,2.624943,0.114895355,-0.204210988,-0.369412935,0.900619363,-0.592519697,-0.657124366,-0.985439939,-0.698919335,-0.525833016,2.588402023,-0.55909501,-0.254210831,2.06648265,2.294463823,0.737167461,0.642161032,1.560505379,0.489261231,-2.881731512,-1.183441181,0.873188011,2.367877633,-0.763505675,0.22854278,0.284995069,0.231050678,-0.344657911,-0.31741701,-0.708925369,-0.225519812,-0.266206953,2.997992086,3.166188951,-0.338753743
1,0.468964623,-1.918227633,-0.67062694,-0.390319093,0.756092089,1.029650663,0.51521545,0.526360867,0.590872007,0.622686654,-0.406891802,-0.685777063,-0.459419278,0.521308371,0.211451507,2.625689853,0.312259617,0.129296772,1.951123635,2.647117734,0.633118763,1.072766817,0.043526882,0.741206886,0.018460467,-0.204210988,1.798882623,0.249500517,-0.383665489,0.720874722,0.90389543,1.41320826,0.473857001,0.314485496,0.088541501,-0.254210831,1.389542845,-0.844679798,-0.575463115,-0.021280414,-0.515351263,2.456765655,0.109376288,-0.440839623,-0.515742626,0.22813439,3.082300686,0.469487107,0.284995069,-0.044684151,-0.344657911,-0.31741701,0.167564178,-0.225519812,-0.266206953,0.005500903,-0.422158527,2.951996903
1,0.959475135,-1.564947939,-0.687291121,-0.661405954,1.599748947,1.124941042,0.816548576,-0.050181482,0.590879374,1.373864667,-1.115385697,-1.260156344,1.093486679,2.551106011,2.844933214,0.58599395,0.295800791,1.357841735,1.995783073,-0.440614002,0.908009424,-0.161046812,0.977558766,1.485057045,1.334300752,-0.204210988,1.883995877,-0.04196666,-0.571454227,0.712823027,2.2816046,-0.165630761,1.451363972,1.944982248,0.669128116,-0.254210831,0.832796159,1.713889028,-0.17295137,0.641257493,1.614652659,1.155325922,-0.396073511,-0.595771581,0.873188011,1.298006011,0.518429779,0.22854278,1.856319232,-0.364582524,-0.344657911,-0.31741701,1.920543272,-0.225519812,2.147402753,1.501746494,0.773957299,2.951996903
1,0.008238879,-2.090036635,-0.619532023,-0.898785203,0.441202428,2.571913131,1.905242063,-0.026970333,-0.396262921,0.247447709,-1.334314796,-1.050676841,1.419216209,2.117436938,-0.49763767,-0.616091285,2.693025549,-0.497039631,-0.767615937,-0.440614002,2.13223476,1.009174492,-0.669563258,1.153402241,-0.564430283,-0.204210988,0.044468657,0.683338181,0.430645476,2.082770419,2.152388549,2.045806987,3.42856096,-0.613561151,-0.55909501,-0.254210831,0.756578407,-0.128395578,-0.738384009,0.561006338,0.522577058,1.783705927,0.398943217,0.77665652,-1.210207945,1.298006011,0.518429779,0.469487107,0.80876979,0.37752005,-0.344657911,-0.31741701,-0.708925369,-0.225519812,-0.266206953,2.24986929,-0.422158527,-0.338753743
1,-0.634294192,0.434022146,1.717266174,1.370023693,-1.194760343,0.27078557,0.588592049,0.549594664,-0.631746698,-1.273547921,1.252413614,0.875183102,-0.809294389,-0.9463765,-0.49763767,-0.616091285,0.271241928,-0.468022432,-0.767615937,-0.440614002,-0.313732335,-1.344622656,-0.713700093,-0.735856666,-0.879457498,-0.204210988,-0.805428631,-0.947097336,-0.612382889,-0.657124366,-0.985439939,-0.698919335,-0.525833016,-0.201775879,-0.55909501,-0.254210831,-1.305379516,-0.883726854,-0.583602997,0.236970143,-0.474851338,-0.780950478,-0.069890507,0.036985341,-0.515742626,-0.841737232,-0.763505675,-0.494290199,-1.286329094,-0.466460704,2.122367134,-0.31741701,-0.708925369,-0.225519812,-0.266206953,-0.742621893,-0.422158527,-0.338753743
1,0.576988829,0.407192762,-0.756323171,-1.593230306,2.233829945,1.11988293,0.18820763,-2.454713907,-0.618210207,0.260928637,-1.186156222,-2.375127891,2.305744761,1.101522238,2.351835477,-0.616091285,1.503234613,1.367084155,0.375529262,-0.440614002,-0.313732335,0.594339936,0.721643659,1.236859545,1.789881966,-0.204210988,1.012825613,1.892845071,1.303491607,-0.657124366,2.457614302,2.265453994,-0.525833016,1.812935056,-0.55909501,-0.254210831,2.300187587,1.871377633,-0.394705504,1.533114921,0.003612897,-0.375917084,-0.458701939,1.910179302,1.567653329,2.367877633,-0.763505675,1.674208738,1.332544511,1.588876992,-0.344657911,-0.31741701,2.797032819,-0.225519812,4.561012458,0.753623699,1.970073125,-0.338753743
1,-0.400939277,-1.325171518,-0.4932647,0.742952368,-0.686185602,-0.056924655,0.217298065,0.277427338,0.590858712,-1.144009646,0.746308225,-0.003279328,-0.837843922,-0.459173247,0.711107462,0.541266943,-0.911633031,0.813151814,0.23589742,-0.440614002,-0.313732335,-0.954512982,0.484329135,-0.166668889,-0.001471919,-0.204210988,-0.805428631,-0.21939861,0.211170315,0.697452982,0.259166817,0.566278118,1.429180925,-0.306874936,-0.55909501,-0.254210831,-0.139612478,-0.894216277,0.953811666,-0.898672324,-0.515351263,0.518052432,0.341476556,0.625764463,-0.515742626,-0.841737232,-0.763505675,-0.253345873,-0.762554373,-0.606604452,-0.344657911,-0.31741701,0.167564178,-0.225519812,-0.266206953,0.005500903,-0.422158527,2.951996903
1,0.958486698,0.291687922,-0.756770556,-1.180816133,1.165818004,0.087820244,-1.334415184,-0.889004062,-0.645563793,0.861170357,-0.901515307,-0.874984355,0.8172307,1.072040732,2.33688973,1.788079184,-0.911633031,3.226360266,-0.173459411,-0.440614002,-0.313732335,0.261783699,-0.26865105,0.577401221,0.790718033,-0.204210988,2.410025789,-0.513259672,-1.005794611,-0.657124366,1.812885689,-0.698919335,-0.525833016,0.922978266,-0.55909501,-0.254210831,1.104313429,-0.044762632,-0.716525459,0.397472454,-1.034315424,-0.780950478,-1.102768349,-1.526524392,1.567653329,0.22813439,0.518429779,1.674208738,0.80876979,-0.745901813,-0.344657911,-0.31741701,2.797032819,-0.225519812,-0.266206953,-0.742621893,-0.422158527,-0.338753743
1,1.113639693,0.27623737,-0.763338498,-1.308906388,1.270134893,0.621725391,0.766808447,-0.683163226,-0.417605349,0.442632876,-1.564085111,-1.672357946,0.679219672,2.609828313,-0.49763767,-0.616091285,0.215844065,-1.079724628,3.105630298,1.282804124,-0.313732335,2.198789223,1.516467941,0.201084252,-0.571855151,-0.204210988,1.785090462,2.313773697,2.150226422,0.690134632,1.675946939,1.54295557,0.451673954,0.297884582,0.074017035,-0.254210831,0.34168816,0.717207917,0.139462459,1.128827572,0.003612897,1.164378346,-0.071786735,1.565674197,-0.515742626,1.298006011,1.800365233,1.433264412,1.856319232,0.201738985,-0.344657911,-0.31741701,-0.708925369,-0.225519812,-0.266206953,0.753623699,-0.422158527,-0.338753743
1,-0.796450762,0.870671501,-0.298197261,1.092369915,-0.865265919,-1.437578743,0.978211635,0.311448253,-0.639241637,0.944459408,-0.355284725,1.071147799,-0.414912468,-0.459173247,-0.49763767,-0.616091285,-0.911633031,-1.079724628,-0.767615937,-0.440614002,-0.313732335,-1.344622656,-0.700599495,-0.714139282,-1.219145489,-0.204210988,-0.805428631,-0.947097336,-0.827236931,0.020164307,-0.985439939,-0.698919335,0.451673954,-0.624487904,-0.55909501,-0.254210831,-0.52120542,-0.156953211,-1.038345413,-0.33085109,-1.034315424,-0.780950478,1.119672424,-0.222463734,0.178722692,-0.841737232,-0.763505675,-1.458067504,0.284995069,-0.227690682,-0.344657911,-0.31741701,-0.708925369,-0.225519812,-0.266206953,-0.742621893,-0.422158527,-0.338753743
1,-0.24274602,0.351056678,-0.210988636,0.824837119,-0.735477924,-1.088514894,-0.899391467,0.46299597,-0.637946495,1.350197901,-0.446085598,1.037360782,-0.809294389,-0.471753566,-0.49763767,-0.616091285,-0.911633031,-0.468022432,-0.767615937,-0.440614002,0.879116353,-0.583497464,-1.130382703,-0.735856666,-0.890045407,-0.204210988,-0.805428631,-0.947097336,-1.453303403,0.796965212,-0.985439939,-0.698919335,-0.525833016,-0.767869833,-0.55909501,-0.254210831,-0.936744117,0.58241112,-1.038345413,-0.614309938,-0.330582084,-0.780950478,2.356330451,-1.028741088,-0.515742626,-0.841737232,-0.763505675,-1.458067504,0.284995069,-0.279676617,-0.344657911,-0.31741701,-0.708925369,-0.225519812,-0.266206953,-0.742621893,-0.422158527,-0.338753743
1,1.82328411,-1.176582049,-0.776125186,-1.705674618,2.208358839,1.119882939,0.18820763,-1.428852441,-0.406830467,1.03978717,-1.606223712,-2.510275957,1.875913645,1.064671913,0.927098903,0.589117493,1.503234613,0.143679764,1.563842315,1.043401113,-0.313732335,0.936589572,1.899422966,1.180598321,0.77450543,-0.204210988,2.78681165,0.429326352,1.093931273,3.290471014,0.413722875,1.344335266,-0.525833016,1.012258331,4.399547348,3.769588762,3.067569411,1.965463526,1.284201154,1.762434443,1.095688499,1.053802651,-0.842806399,0.83438727,1.567653329,1.298006011,1.800365233,0.951375759,3.427643395,1.998795227,-0.344657911,4.226658085,2.797032819,-0.225519812,4.561012458,0.753623699,1.970073125,-0.338753743
1,0.980107443,-1.561116366,-0.807087528,-1.372689351,1.594639772,-0.067314162,0.461196072,-0.662787067,0.590879376,1.374105413,-1.257919243,-1.915624465,0.361821904,1.546663666,2.844933214,1.788079184,-0.911633031,2.60541565,1.424210474,-0.440614002,-0.313732335,0.540087236,0.925755896,0.825598721,1.929302588,-0.204210988,2.327492386,-0.513259672,1.125617695,0.035534353,1.658329632,-0.698919335,0.473857001,0.961261139,1.853777844,-0.254210831,0.402009746,1.468383879,-0.583602997,1.941337384,0.030686537,0.694331476,-0.837828457,0.776523831,0.873188011,1.298006011,1.800365233,0.22854278,2.380093953,-0.215342351,-0.344657911,-0.31741701,1.920543272,-0.225519812,-0.266206953,0.005500903,-0.422158527,2.951996903
1,0.656880383,0.256907718,-0.427682585,-1.712744477,1.37067847,1.122524539,0.057627252,-0.879283802,0.583273652,-0.293305042,-0.734921269,-1.165552698,1.166824416,0.125453434,0.214730616,-0.616091285,1.490923839,0.167849288,0.969685789,-0.440614002,3.896865058,0.622162575,1.670532266,0.261360131,1.097210445,-0.204210988,1.936914362,-0.479922492,1.833686392,-0.657124366,1.113304281,0.367657813,-0.525833016,1.941463963,-0.55909501,-0.254210831,0.797098832,0.323868901,0.938049118,2.840297285,-0.515351263,-0.549312277,0.039876677,1.243926314,1.567653329,-0.841737232,1.800365233,2.637986044,0.284995069,0.795100308,-0.344657911,-0.31741701,1.920543272,-0.225519812,2.147402753,0.005500903,-0.422158527,-0.338753743
1,0.257941403,0.363521748,-0.653929105,-0.893521203,-0.137230934,0.501594415,0.287655763,0.232066115,-0.611539982,0.116089081,1.012556577,-0.401966123,0.304441444,-0.38652125,-0.49763767,0.541266943,1.454116888,0.210692039,0.375529262,-0.440614002,-0.313732335,0.625524871,1.312739488,0.574321097,-0.216124337,-0.204210988,-0.332317205,0.40010734,0.347111317,-0.657124366,-0.285858532,-0.066320608,-0.525833016,0.907723661,-0.55909501,-0.254210831,1.155688221,-0.196059035,1.179055666,-0.898672324,0.522577058,-0.115085594,-0.685507874,-0.237610476,-0.515742626,0.22813439,-0.763505675,0.469487107,-0.762554373,-0.512076469,-0.344657911,-0.31741701,0.167564178,-0.225519812,-0.266206953,1.501746494,0.773957299,-0.338753743
1,1.324345773,-1.469998443,-0.797102596,-0.569210999,0.468767049,1.116415353,0.188323006,0.787741076,0.842257101,-0.738187336,0.12973109,-0.570901206,-0.016602739,-0.463883321,1.428439329,-0.616091285,0.295800791,0.120054352,2.519178939,0.421095061,-0.313732335,1.688843885,0.612057085,0.129980474,1.020278982,-0.204210988,1.424986716,1.038170415,-0.398453089,1.995099281,1.035054662,1.616930798,-0.525833016,0.110752221,1.947217099,1.757688966,1.417654296,-0.143447804,0.52932434,-0.250599935,0.236667522,1.238370779,-0.065191189,-0.503321625,0.873188011,-0.841737232,1.800365233,0.710431433,-0.238779652,-0.094407117,-0.344657911,-0.31741701,1.920543272,-0.225519812,2.147402753,0.005500903,0.773957299,2.951996903
1,0.561307535,0.909145997,-0.66578876,-0.158335126,0.02468754,0.163350622,-0.234260892,0.043533541,0.842257052,-0.384969209,-0.82306025,-0.530356786,-0.105686295,-0.478901241,-0.49763767,1.809950685,-0.911633031,-0.468022432,-0.767615937,2.935767116,-0.313732335,0.62952046,0.534439664,-0.783843598,0.751074937,-0.204210988,1.4083046,0.679220013,0.434163382,0.012845958,-0.340711326,-0.029918628,-0.525833016,-1.190581857,1.309622747,-0.254210831,-0.491928046,1.299117046,0.572519318,0.790325859,0.720604476,-0.526880518,0.136979359,0.566295549,-1.210207945,0.22813439,1.800365233,-0.735234525,0.80876979,-0.004013063,-0.344657911,-0.31741701,-0.708925369,-0.225519812,-0.266206953,-0.742621893,-0.422158527,-0.338753743
