target,acid_group,base_group,MaxEStateIndex,NumRadicalElectrons,BCUT2D_MWLOW,BCUT2D_CHGLO,HallKierAlpha,PEOE_VSA11,PEOE_VSA13,PEOE_VSA6,PEOE_VSA7,SMR_VSA4,SMR_VSA7,SMR_VSA9,SlogP_VSA4,SlogP_VSA5,SlogP_VSA7,SlogP_VSA8,EState_VSA5,EState_VSA6,EState_VSA8,VSA_EState10,VSA_EState6,VSA_EState8,NumAliphaticCarbocycles,MolLogP,fr_Al_COO,fr_Ar_COO,fr_Ar_NH,fr_Ndealkylation1,fr_allylic_oxid,fr_aryl_methyl,fr_bicyclic,fr_guanido,fr_imidazole,fr_ketone,fr_lactam,fr_oxime,fr_para_hydroxylation,fr_phos_acid,fr_priamide,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_tetrazole,fr_thiazole,fr_unbrch_alkane,fr_urea
1,-2.081665999,-1.634665454,-0.520273259,-0.137672629,1.580193056,1.722122745,0.820674991,-0.537414593,3.387033972,-0.861586015,-0.793824315,-0.656933693,-1.031198076,-0.388935704,-0.646247627,-0.668386047,-0.273438794,-0.448472241,-0.846901631,-0.711773851,-0.538491347,-0.428018196,-0.629659437,-0.312484662,-0.472443499,-0.161927889,-0.386564919,-0.153292839,-0.252690013,-0.408534479,-0.258318095,-0.280339838,-0.640597448,-0.214103731,-0.250488788,-0.373884683,-0.277350098,-0.151099471,-0.337295422,-0.118760796,-0.254981332,-0.268298431,-0.230574407,-0.260693091,-0.179605302,-0.165900379,-0.174477592,0.834712972,-0.231187647
1,0.480384461,-1.634665454,0.132817179,-0.137672629,-1.603495027,-1.059652766,0.411612214,-0.537414593,-0.436721958,0.010021637,1.118416504,0.589594667,-0.288005449,0.068785972,0.717731093,0.921439971,-0.273438794,-0.448472241,0.562381372,-0.711773851,-0.08482936,-0.428018196,0.160611403,0.144111297,2.037295877,0.819885276,-0.386564919,-0.153292839,-0.252690013,-0.408534479,-0.258318095,0.939002369,1.666377285,-0.214103731,-0.250488788,-0.373884683,-0.277350098,-0.151099471,-0.337295422,-0.118760796,-0.254981332,-0.268298431,-0.230574407,-0.260693091,-0.179605302,-0.165900379,-0.174477592,-0.259778964,-0.231187647
1,-2.081665999,-1.634665454,0.304712359,-0.137672629,-1.925822043,-1.478002241,0.531562953,-0.098450121,-0.436721958,0.63123256,1.133326357,1.836123028,-0.735980784,-0.388935704,2.081709813,1.413387907,-0.273438794,-0.448472241,1.793631075,-0.711773851,-0.323152762,-0.428018196,-0.629659437,0.183147531,3.710455461,1.002986902,-0.386564919,-0.153292839,-0.252690013,-0.408534479,0.592612101,-0.280339838,1.666377285,-0.214103731,-0.250488788,1.301118697,-0.277350098,-0.151099471,-0.337295422,-0.118760796,-0.254981332,-0.268298431,-0.230574407,-0.260693091,-0.179605302,-0.165900379,-0.174477592,-0.259778964,-0.231187647
1,0.480384461,-1.634665454,0.211078281,-0.137672629,-2.032519054,-1.649061138,0.476201074,0.34051435,-0.436721958,0.211441312,0.324148361,1.836123028,-0.428018382,-0.388935704,2.081709813,0.101431535,-0.273438794,-0.448472241,-0.846901631,-0.105223878,-0.323152762,-0.428018196,-0.629659437,0.246909249,2.873875669,0.201520644,-0.386564919,-0.153292839,-0.252690013,-0.408534479,3.145402688,-0.280339838,1.666377285,-0.214103731,-0.250488788,2.976122077,-0.277350098,-0.151099471,-0.337295422,-0.118760796,-0.254981332,-0.268298431,-0.230574407,-0.260693091,-0.179605302,-0.165900379,-0.174477592,-0.259778964,-0.231187647
1,0.480384461,-1.634665454,0.055833317,-0.137672629,-1.036152384,-0.340600725,0.368552975,-0.537414593,-0.436721958,0.010341127,-0.639053335,0.161971797,-0.710490564,-0.388935704,0.249816752,-0.204191896,-0.273438794,-0.448472241,-0.846901631,-0.408498865,-0.190953801,-0.428018196,-0.728559286,0.448227349,-0.472443499,0.12262759,-0.386564919,-0.153292839,-0.252690013,-0.408534479,0.592612101,-0.280339838,-0.640597448,-0.214103731,-0.250488788,-0.373884683,-0.277350098,-0.151099471,-0.337295422,-0.118760796,-0.254981332,-0.268298431,-0.230574407,-0.260693091,-0.179605302,-0.165900379,-0.174477592,-0.259778964,3.340262896
1,0.480384461,-1.634665454,0.57673098,-0.137672629,-1.176046485,-0.904990346,-0.1481579,2.163062798,-0.436721958,-0.861586015,0.122522224,0.198312049,0.006722579,1.899672676,0.289581055,-0.146339674,-0.273438794,-0.448472241,-0.187479107,0.844986283,-0.867164881,-0.428018196,0.287602293,-0.122135684,0.364136293,0.120448223,-0.386564919,-0.153292839,-0.252690013,-0.408534479,-0.258318095,-0.280339838,1.204982338,-0.214103731,-0.250488788,-0.373884683,-0.277350098,-0.151099471,-0.337295422,-0.118760796,-0.254981332,-0.268298431,-0.230574407,-0.260693091,-0.179605302,-0.165900379,-0.174477592,-0.259778964,-0.231187647
1,-2.081665999,0.611745968,0.271009862,-0.137672629,0.22490538,1.208813197,0.159408097,-0.094474724,-0.436721958,0.124716478,-0.33640337,-0.296186762,0.739927721,-0.388935704,-0.23452288,-0.707657844,2.141764248,-0.448472241,-0.846901631,0.245585952,-0.462157733,1.50444553,1.35042758,-0.304336132,-0.472443499,0.401516716,-0.386564919,-0.153292839,-0.252690013,1.129477678,-0.258318095,-0.280339838,-0.179202502,-0.214103731,-0.250488788,-0.373884683,-0.277350098,-0.151099471,-0.337295422,-0.118760796,-0.254981332,-0.268298431,-0.230574407,-0.260693091,-0.179605302,-0.165900379,-0.174477592,-0.259778964,-0.231187647
1,0.480384461,0.611745968,0.551075431,-0.137672629,-1.611914992,-1.23304208,-0.111249981,0.326685306,0.679473452,-0.230867248,-0.302110691,0.612621998,0.286369362,0.068785972,0.289581055,-0.303745655,-0.273438794,-0.448472241,0.315311296,0.239399942,-0.867164881,-0.428018196,-0.210355649,-0.148291611,2.037295877,-0.173539552,-0.386564919,-0.153292839,-0.252690013,1.129477678,-0.258318095,-0.280339838,0.743587391,-0.214103731,-0.250488788,2.976122077,-0.277350098,-0.151099471,-0.337295422,-0.118760796,1.104919107,-0.268298431,-0.230574407,-0.260693091,-0.179605302,-0.165900379,-0.174477592,-0.259778964,-0.231187647
1,0.480384461,0.611745968,1.066829621,-0.137672629,0.136773411,0.044341383,-1.916662384,-0.085067728,-0.436721958,1.058946968,1.303375684,0.612621998,1.099411532,0.068785972,0.717279865,1.392022483,-0.273438794,1.203696339,1.086418034,1.542673717,1.808991611,-0.428018196,-0.425276511,0.598644401,-0.472443499,-0.327111638,-0.386564919,-0.153292839,3.177768347,1.129477678,-0.258318095,-0.280339838,-0.179202502,2.450298251,2.189054191,-0.373884683,-0.277350098,-0.151099471,2.099936015,-0.118760796,-0.254981332,-0.268298431,-0.230574407,-0.260693091,-0.179605302,-0.165900379,-0.174477592,0.105051681,-0.231187647
1,0.480384461,0.611745968,-0.89453815,-0.137672629,0.587528681,1.216577285,0.488503714,0.335393476,-0.436721958,-0.66080532,-0.482545736,-0.656933693,-0.428996908,0.526507648,-0.646247627,-0.695278715,-0.273438794,-0.448472241,-0.28425564,-0.057207219,-0.658289432,-0.428018196,-0.065305156,-0.28011301,-0.472443499,-0.051808877,-0.386564919,-0.153292839,-0.252690013,1.129477678,-0.258318095,-0.280339838,-0.640597448,-0.214103731,-0.250488788,-0.373884683,-0.277350098,-0.151099471,-0.337295422,-0.118760796,-0.254981332,-0.268298431,-0.230574407,-0.260693091,-0.179605302,-0.165900379,-0.174477592,-0.259778964,-0.231187647
