target,acid_group,base_group,MaxAbsPartialCharge,FpDensityMorgan1,PEOE_VSA4,PEOE_VSA6,SMR_VSA7,EState_VSA6,EState_VSA7,VSA_EState6,VSA_EState8,VSA_EState9,NumAromaticHeterocycles,MolLogP,fr_Al_COO,fr_NH2,fr_benzodiazepine,fr_ketone,fr_piperdine
1,0.495260557,0.832050294,-0.814488154,0.176796908,-0.356181449,0.194509223,0.592679529,1.087020171,-0.802018481,0.907012393,-0.912221568,-0.275936508,-0.531433958,0.28001266,-0.316227766,-0.43037564,5.656854249,-0.577683516,-0.380142961
1,0.495260557,-1.201850425,0.340164482,-0.581540764,-0.356181449,0.330515411,-0.526801018,-0.868849558,0.391096206,0.044009923,0.626982571,-0.275936508,-0.531433958,0.476936344,-0.316227766,-0.43037564,-0.176776695,-0.577683516,-0.380142961
1,0.495260557,-1.201850425,-0.074454971,-0.551818684,-0.356181449,0.290508062,-0.310570661,0.376273099,1.356396643,-0.968812114,1.496942168,1.720976761,-0.531433958,0.843169718,-0.316227766,-0.43037564,-0.176776695,1.665087782,1.292486066
1,0.495260557,0.832050294,-0.840700898,0.474353454,-0.356181449,0.226704281,0.846568608,-0.643165294,1.186505998,1.240840052,-0.443087143,0.616517477,0.871551691,-0.093618628,-0.316227766,-0.43037564,-0.176776695,-0.577683516,1.292486066
1,0.495260557,-1.201850425,-0.076013429,-0.470544164,-0.356181449,0.829500647,1.222395664,2.9609274,-0.802018481,1.26671345,1.251967634,-0.275936508,-0.531433958,0.337987403,-0.316227766,-0.43037564,-0.176776695,0.543702133,-0.380142961
1,0.495260557,-1.201850425,-0.076019467,-1.024208019,-0.356181449,1.380391449,2.393576505,3.401278845,-0.802018481,2.444752073,0.55152093,-0.275936508,-0.531433958,0.512351112,-0.316227766,-0.43037564,-0.176776695,0.543702133,-0.380142961
1,-2.019139192,-1.201850425,0.223236006,0.124358664,-0.356181449,-0.665494272,-0.708323673,0.19506459,0.559721165,-0.069339285,0.458349629,0.382934671,-0.531433958,0.037126686,-0.316227766,-0.43037564,-0.176776695,-0.577683516,-0.380142961
1,0.495260557,-1.201850425,0.294505774,-0.625736207,-0.356181449,-0.875077322,0.583185772,-0.030619674,0.743807686,0.708818439,-0.880819691,0.963836411,0.871551691,0.152416952,-0.316227766,-0.43037564,-0.176776695,-0.577683516,-0.380142961
1,0.495260557,0.832050294,0.223327374,1.311930644,-0.356181449,-0.691447055,-0.691914692,0.248790287,-0.802018481,0.190047578,-0.953350877,0.383464237,-0.531433958,-0.661609967,-0.316227766,1.064613425,-0.176776695,-0.577683516,-0.380142961
1,0.495260557,-1.201850425,0.254752625,-0.85603735,-0.356181449,1.179577028,-0.510392036,1.524388101,1.01363438,-1.135456335,2.409041932,1.569815628,-0.531433958,0.068842496,-0.316227766,-0.43037564,-0.176776695,1.665087782,-0.380142961
1,0.495260557,0.832050294,-0.711335356,0.140318132,-0.356181449,-0.523914317,0.437082441,1.40310001,-0.802018481,0.590450773,-0.912221568,1.179068164,-0.531433958,0.428593539,-0.316227766,-0.43037564,-0.176776695,-0.577683516,-0.380142961
1,0.495260557,-1.201850425,-0.604935306,-2.626489888,-0.356181449,2.243300041,-1.087148053,1.643301185,3.227624981,-2.554299509,4.471156747,4.018132549,-0.531433958,0.341429996,-0.316227766,-0.43037564,-0.176776695,-0.577683516,-0.380142961
1,-2.019139192,0.832050294,-1.225075661,0.418012828,-0.356181449,0.210606752,0.626734166,-0.039147584,1.98191579,1.369001397,-0.885448387,0.487306282,-0.531433958,0.299239912,-0.316227766,-0.43037564,5.656854249,-0.577683516,-0.380142961
1,0.495260557,-1.201850425,0.254752625,-0.85603735,-0.356181449,1.179577028,-0.510392036,1.524388101,1.01363438,-1.11681574,2.466684378,1.582812736,-0.531433958,-0.007407292,-0.316227766,-0.43037564,-0.176776695,0.543702133,-0.380142961
1,-2.019139192,0.832050294,-0.792444272,-0.418901535,-0.356181449,0.713204966,1.333325397,0.825639007,0.699064553,0.71011464,-0.748901553,-0.275936508,0.871551691,1.508176277,-0.316227766,-0.43037564,-0.176776695,-0.577683516,-0.380142961
