target,acid_group,acid_pka,base_group,MinEStateIndex,qed,MaxPartialCharge,MinAbsPartialCharge,BCUT2D_MWLOW,BCUT2D_CHGLO,PEOE_VSA13,PEOE_VSA14,PEOE_VSA3,PEOE_VSA4,PEOE_VSA7,SlogP_VSA8,EState_VSA4,EState_VSA8,VSA_EState5,VSA_EState6,VSA_EState8,VSA_EState9,NumAliphaticCarbocycles,NumAromaticCarbocycles,MolLogP,fr_Ndealkylation1,fr_Ndealkylation2,fr_lactam,fr_lactone,fr_piperdine
1,0.477803118,-0.732007599,0.575335079,-0.070310216,-0.358562722,-0.054656673,0.332189322,0.720158798,0.424728253,-0.424660713,-0.136844834,1.442900342,-0.329564207,-0.270594506,2.104360665,0.403903556,-0.271393877,-0.292898818,-0.377595833,0.08669792,-0.076314713,0.430957955,-0.021140562,0.090432467,-0.434097799,-0.354801638,-0.302371578,-0.166346092,1.887517829
1,-2.092912251,1.049513373,0.575335079,0.686680056,0.690303,-0.009914723,0.478750008,-0.475442777,-0.984420671,-0.424660713,-0.145018295,-0.043673856,0.67942418,-0.008920208,-0.456546637,0.815253567,-0.282541244,0.292716354,0.690065173,0.479096925,0.250546959,-0.440078758,-0.021140562,0.169649761,-0.434097799,1.83123426,-0.302371578,-0.166346092,1.887517829
1,-2.092912251,1.049513373,0.575335079,1.584875393,1.435318236,-0.731737073,-1.885715059,-0.138369291,1.011470376,-0.424660713,-0.311367483,-0.436257027,-0.329564207,0.471230165,0.397013873,0.262804425,1.950778494,0.281493578,1.725666983,-0.166715534,0.747741448,0.430957955,0.786428922,0.629225585,-0.434097799,-0.354801638,-0.302371578,-0.166346092,-0.271260047
1,0.477803118,-1.338578421,0.575335079,-0.011936384,-1.519918403,-0.083938557,0.236270996,-0.03029829,-0.052335057,-0.424660713,0.037677815,0.364421027,-0.329564207,0.460894274,-0.456546637,-0.891055065,0.92596647,-0.739987033,-0.083763487,0.406190645,-0.076314713,-0.440078758,0.786428922,-0.275716462,-0.434097799,1.83123426,-0.302371578,-0.166346092,-0.271260047
1,0.477803118,0.995595967,0.575335079,0.605641527,0.784714698,-0.103672992,0.171627136,-0.987973232,-0.518394594,-0.424660713,-0.136844834,-0.436257027,-0.329564207,0.505615768,-0.456546637,1.351079068,0.247805496,0.273096954,1.783954036,0.22900052,-0.076314713,-0.440078758,0.786428922,0.50373219,-0.434097799,1.83123426,-0.302371578,-0.166346092,1.887517829
1,0.477803118,-0.037820991,0.575335079,0.892658762,1.090716365,-0.40448586,-0.813742071,-0.810484722,-0.488392689,-0.424660713,-0.311367483,-0.436257027,-0.329564207,0.14089524,1.24761752,0.721962652,0.285412492,0.279193124,0.734965298,-0.168799307,0.341494108,0.430957955,0.786428922,0.411592576,1.311432299,-0.354801638,-0.302371578,-0.166346092,-0.271260047
1,0.477803118,0.029575768,0.575335079,0.471334565,-0.17998885,-0.420331985,-0.865649039,0.463906877,1.028521258,-0.424660713,-0.311367483,-0.436257027,-0.329564207,0.47160882,-0.456546637,0.262804425,-0.666154875,0.267102185,0.912314684,-0.15764321,-0.076314713,-0.440078758,0.786428922,0.345479144,-0.434097799,-0.354801638,-0.302371578,-0.166346092,-0.271260047
1,0.477803118,0.94167856,0.575335079,0.652853048,1.330722801,-0.036794074,0.39070163,0.998989072,0.963790673,-0.424660713,-0.136844834,-0.043673856,-0.329564207,-0.125224496,-0.456546637,-0.062608781,-0.46239716,0.219969319,-0.642072289,0.362611071,0.180241404,-0.440078758,-0.828710047,0.299338371,-0.434097799,-0.354801638,-0.302371578,-0.166346092,-0.271260047
1,0.477803118,0.975376939,0.575335079,-2.006165304,0.620901566,0.099743035,0.509383399,0.17232822,0.214883473,-0.424660713,0.168994481,-0.043673856,1.123101301,-0.759530684,-0.456546637,-0.671976564,-0.705742144,0.212891544,-0.870075546,-0.25899053,-0.994997325,-0.440078758,-0.828710047,-0.31047305,-0.434097799,-0.354801638,-0.302371578,-0.166346092,1.887517829
1,0.477803118,-1.536275578,-1.738117554,0.212426227,0.094688589,-0.081243351,0.24509965,-0.043194644,-0.722515066,-0.424660713,0.215814657,1.142703702,-0.329564207,-0.592284068,-0.456546637,-0.671976564,-0.258639445,0.048241055,-0.060030648,0.118431933,-0.076314713,-0.440078758,-0.021140562,-0.043197204,-0.434097799,-0.354801638,3.307189139,-0.166346092,-0.271260047
1,0.477803118,-1.042032686,0.575335079,0.440173616,1.008602163,-0.130163796,0.084851519,1.017952093,0.483279115,-0.424660713,-0.136844834,-0.028162144,-0.329564207,-0.45966881,1.233297095,0.702198317,-0.491127832,0.409312887,0.200053792,-0.129533201,0.30215093,-0.440078758,-0.021140562,0.480033017,-0.434097799,-0.354801638,-0.302371578,-0.166346092,-0.271260047
1,0.477803118,0.988856291,0.575335079,1.335615928,0.488914428,-0.636186889,-1.572722435,1.442981367,2.529359699,-0.424660713,-0.311367483,-0.436257027,0.21985135,-0.765399461,-0.456546637,-0.349395865,-0.479114372,0.281493578,-0.350230664,-0.206958332,-0.076314713,-0.440078758,-0.828710047,-0.073448308,-0.434097799,-0.354801638,-0.302371578,-0.166346092,-0.271260047
1,0.477803118,1.029294346,0.575335079,0.508034833,1.50376529,-0.545997638,-1.277290555,-0.995639506,-0.511349503,-0.424660713,-0.311367483,-0.436257027,-0.329564207,0.657743776,-0.456546637,0.224470788,0.94599783,0.458661488,0.769631318,0.065776869,-0.076314713,1.301994667,-0.021140562,0.595195157,-0.434097799,1.83123426,-0.302371578,-0.166346092,1.887517829
1,0.477803118,0.285683448,0.575335079,-0.43614895,-1.545192269,0.072344647,0.748206068,-0.027474028,-0.897961782,1.748420083,-0.133221393,1.996800558,-0.329564207,-0.28027864,1.182471951,0.213203138,1.978138789,-0.534477801,-1.633874273,0.038064937,-0.027274109,-0.440078758,-0.828710047,-1.330111836,-0.434097799,-0.354801638,-0.302371578,-0.166346092,-0.271260047
1,0.477803118,-1.338578421,0.575335079,-0.063911067,-1.465795392,-0.084639285,0.233975628,0.183608463,0.175485542,-0.424660713,-0.136844834,0.364421027,-0.329564207,0.332058669,1.213313692,-0.403577422,1.536916694,-0.55971796,0.209391386,0.045825065,-0.076314713,-0.440078758,0.786428922,-0.131248875,-0.434097799,-0.354801638,-0.302371578,-0.166346092,-0.271260047
1,-2.092912251,1.049513373,-1.738117554,1.549274613,1.069334717,-0.52440163,-1.206548764,0.869746231,0.152828879,-0.424660713,-0.311367483,-0.436257027,-0.329564207,-0.755751032,-0.456546637,-0.105373954,1.476038364,0.281493578,0.503412948,0.16472392,0.792959444,-0.440078758,-0.021140562,0.44385712,-0.434097799,-0.354801638,-0.302371578,-0.166346092,-0.271260047
1,-2.092912251,1.049513373,0.575335079,1.13607027,1.496431653,-0.638422613,-1.580045971,-0.195056509,0.659242444,-0.424660713,-0.311367483,-0.436257027,-0.329564207,0.361887368,-0.456546637,0.143203435,2.054449888,0.319418695,1.325194011,-0.170482199,0.738376165,-0.440078758,-0.021140562,0.589468407,-0.434097799,-0.354801638,-0.302371578,-0.166346092,-0.271260047
1,0.477803118,0.128424346,0.575335079,0.545323381,1.664880446,-0.50377579,-1.138984939,-1.941184849,-1.877789493,-0.424660713,-0.311367483,-0.436257027,-0.329564207,0.803787114,-0.456546637,1.101557415,-0.449646962,0.409215151,0.206739823,-0.048891531,-0.076314713,2.173031379,-0.021140562,0.496701656,-0.434097799,1.83123426,-0.302371578,-0.166346092,1.887517829
1,-2.092912251,1.049513373,-1.738117554,0.25019339,-0.277022751,3.252286453,1.701466263,-0.066257621,-0.050658463,-0.424660713,0.791973081,-0.436257027,-0.329564207,-0.733923344,-0.456546637,-0.27192449,-0.86991259,0.052001016,-0.602564147,-0.082623962,-0.076314713,-0.440078758,-0.828710047,-0.532132938,-0.434097799,-0.354801638,-0.302371578,-0.166346092,-0.271260047
